|Title|Artist
689|So Emotional|Whitney Houston
690|Got My Mind Set on You|George Harrison
691|The Way You Make Me Feel|Michael Jackson
692|Need You Tonight|INXS
693|Could've Been|Tiffany
694|Seasons Change|Exposé
695|Father Figure|George Michael
696|Never Gonna Give You Up|Rick Astley
697|Man in the Mirror|Michael Jackson
698|Get Outta My Dreams, Get into My Car|Billy Ocean
699|Where Do Broken Hearts Go|Whitney Houston
700|Wishing Well|Terence Trent D'Arby
701|Anything for You|Gloria Estefan and Miami Sound Machine
702|One More Try|George Michael
703|Together Forever|Rick Astley
704|Foolish Beat|Debbie Gibson
705|Dirty Diana|Michael Jackson
706|The Flame|Cheap Trick
707|Hold On to the Nights|Richard Marx
